"DISSEMINATION_ID","ORIGINAL_DISSEMINATION_ID","ACTION","EXECUTION_TIMESTAMP","CLEARED","INDICATION_OF_COLLATERALIZATION","INDICATION_OF_END_USER_EXCEPTION","INDICATION_OF_OTHER_PRICE_AFFECTING_TERM","BLOCK_TRADES_AND_LARGE_NOTIONAL_OFF-FACILITY_SWAPS","EXECUTION_VENUE","EFFECTIVE_DATE","END_DATE","DAY_COUNT_CONVENTION","SETTLEMENT_CURRENCY","ASSET_CLASS","SUB-ASSET_CLASS_FOR_OTHER_COMMODITY","TAXONOMY","PRICE_FORMING_CONTINUATION_DATA","UNDERLYING_ASSET_1","UNDERLYING_ASSET_2","PRICE_NOTATION_TYPE","PRICE_NOTATION","ADDITIONAL_PRICE_NOTATION_TYPE","ADDITIONAL_PRICE_NOTATION","NOTIONAL_CURRENCY_1","NOTIONAL_CURRENCY_2","ROUNDED_NOTIONAL_AMOUNT_1","ROUNDED_NOTIONAL_AMOUNT_2","PAYMENT_FREQUENCY_1","PAYMENT_FREQUENCY_2","RESET_FREQUENCY_1","RESET_FREQUENCY_2","EMBEDED_OPTION","OPTION_STRIKE_PRICE","OPTION_TYPE","OPTION_FAMILY","OPTION_CURRENCY","OPTION_PREMIUM","OPTION_LOCK_PERIOD","OPTION_EXPIRATION_DATE","PRICE_NOTATION2_TYPE","PRICE_NOTATION2","PRICE_NOTATION3_TYPE","PRICE_NOTATION3"
"1311389","","NEW","2013-03-08T18:04:35","U","","","N","Y","OFF","2008-03-19","2018-03-19","","USD","IR","","InterestRate:Exotic","Amendment","","","Currency Amount","0.0195","","0","USD","","5,000,000","0","","","","","","0","","","","0","","","","0","","0"
"1311390","","NEW","2013-03-08T18:03:48","U","","","N","Y","OFF","2008-03-19","2018-03-19","","USD","IR","","InterestRate:Exotic","Amendment","","","Currency Amount","0.0235","","0","USD","","5,000,000","0","","","","","","0","","","","0","","","","0","","0"
"1311391","","NEW","2013-03-08T18:04:09","U","","","N","Y","OFF","2008-03-19","2018-03-19","","USD","IR","","InterestRate:Exotic","Amendment","USD-LIBOR-BBA","","Currency Amount","0","","0","USD","","5,000,000","0","","","","","","0","","","","0","","","","0","","0"
"1311394","","NEW","2012-04-23T20:23:34","U","","","Y","Y","OFF","2012-04-23","2013-04-23","","USD","IR","","InterestRate:Exotic","Amendment","","","Currency Amount","100,000","","0","USD","","100,000,000","0","","","","","","0","","","","0","","","","0","","0"
"1311397","","NEW","2013-03-08T21:53:06","U","","","N","Y","OFF","2013-04-04","2017-10-04","","USD","IR","","InterestRate:Exotic","Amendment","USD-LIBOR-BBA","","Currency Amount","0","","0","USD","","15,000,000","0","","","","","","0","","","","0","","","","0","","0"
"1311398","","NEW","2013-03-08T21:52:39","U","","","N","Y","OFF","2013-04-04","2017-10-04","","USD","IR","","InterestRate:Exotic","Amendment","","","Currency Amount","0.01","","0","USD","","15,000,000","0","","","","","","0","","","","0","","","","0","","0"
"1311399","","NEW","2013-03-08T18:02:55","U","","","N","Y","OFF","2008-03-19","2018-03-19","","USD","IR","","InterestRate:Exotic","Amendment","USD-LIBOR-BBA","","Currency Amount","0","","0","USD","","5,000,000","0","","","","","","0","","","","0","","","","0","","0"
"1311402","","NEW","2013-03-08T22:36:49","U","FC","","Y","Y","OFF","2013-08-01","2016-08-15","","USD","IR","","InterestRate:Exotic","Trade","","","Percentage","0","","0","USD","CHF","500,000","3,194,000","","","","","","0","","","","0","","","","0","","0"
"1311403","","NEW","2013-03-08T22:44:08","U","UC","","Y","N","OFF","2013-03-12","2020-10-15","30E/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Trade","FIXED","USD-LIBOR-BBA","Percent","3.95","","0","USD","USD","100,000,000+","100,000,000+","6M","1M","","1M","","0","","","","0","","","Percent","2.2792","","0"
"1311404","1311403","CANCEL","2013-03-08T22:44:08","U","UC","","Y","N","OFF","2013-03-12","2020-10-15","30E/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Trade","FIXED","USD-LIBOR-BBA","Percent","3.95","","0","USD","USD","100,000,000+","100,000,000+","6M","1M","","1M","","0","","","","0","","","Percent","2.2792","","0"
"1311405","1311403","CORRECT","2013-03-08T22:44:08","U","UC","","Y","N","OFF","2013-03-12","2020-10-15","30E/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Trade","FIXED","USD-LIBOR-BBA","Percent","3.95","","0","USD","USD","100,000,000+","100,000,000+","6M","1M","","1M","","0","","","","0","","","Percent","2.356","","0"
"1311406","","NEW","2013-03-08T19:11:18","C","PC","","N","Y","OFF","2013-06-28","2020-02-15","30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Termination","USD-LIBOR-BBA","FIXED","Percent","1.61168","","0","USD","USD","2,000,000","2,000,000","3M","6M","3M","","","0","","","","0","","","Percent","0","","0"
"1311407","","NEW","2013-03-08T22:31:00","U","","","N","Y","OFF","2013-03-12","2023-03-12","30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Amendment","FIXED","USD-LIBOR-BBA","Percent","2.08","","0","USD","USD","8,000,000","8,000,000","6M","1M","","1M","","0","","","","0","","","Percent","0","","0"
"1311408","","NEW","2013-03-07T21:35:09","U","FC","","N","Y","OFF","2013-02-08","2017-01-02",">BUS/252","USD","IR","","InterestRate:CrossCurrency:Basis","Amendment","","CDI","Percent","0.013","USD","3,949.21326","USD","USD","2,000,000","2,000,000","1T","1T","","1D","","0","","","","0","","","Percent","0.013","","0"
"1311409","","NEW","2013-03-08T21:56:36","U","PC","","N","Y","OFF","2013-06-19","2013-09-18","ACT/360","USD","IR","","InterestRate:FRA","Trade","USD-LIBOR-BBA","","Percent","0.29","","0","USD","","220,000,000","0","","","","","","0","","","","0","","","","0","","0"
"1311411","1311405","CANCEL","2013-03-08T22:44:08","U","UC","","Y","N","OFF","2013-03-12","2020-10-15","30E/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Trade","FIXED","USD-LIBOR-BBA","Percent","3.95","","0","USD","USD","100,000,000+","100,000,000+","6M","1M","","1M","","0","","","","0","","","Percent","2.356","","0"
